,ID,output
0,16588,1.1945863713631194e+17
1,17513,6.449676484106829e+18
2,14448,877607364188660.8
3,13972,1.2342129786956182e+17
4,18321,963917076296.4188
5,19593,6.545942157420222e+16
6,16569,1.0772618449029792e+18
7,11736,173393989982.25763
8,18654,13132731820.73356
9,12539,4.245430535782268e+16
10,19545,3.168377514976379e+17
11,10113,1.3572509856563732e+18
12,19387,9855827521094756.0
13,10985,4.793168611954664e+17
14,18805,2.802578827763617e+20
15,12993,1.0321616377493076e+18
16,17187,4.260886025176547e+19
17,11290,1.5675636262120128e+18
18,12106,3.870716504961147e+17
19,11139,9220942093750552.0
20,15128,105177784.360798
21,12377,272795558309.5457
22,14751,80504327378539.81
23,16358,21563094112143.633
24,19049,1.3995661923537814e+16
25,16516,141180739605044.88
26,14279,3.240446464563762e+18
27,16575,96671369536569.34
28,15346,8.354810806173307e+16
29,15781,2.2191990685203853e+18
30,11337,3.511125729415339e+19
31,15504,1.9406276535692173e+18
32,17577,50953605186201.32
33,12165,8.738140222829693e+19
34,19686,9.655041718054056e+17
35,17595,2.202539735012224e+19
36,19063,1900472654625907.5
37,18021,959031289405971.6
38,15871,9.186320333930749e+16
39,18421,3.906241251141899e+17
40,19824,1.984608051361722e+17
41,17593,1.7903073209701212e+18
42,11554,41155814777858.95
43,15583,6.090997969384212e+16
44,15763,4.9059371567905325e+17
45,11463,283674224040844.4
46,18339,1249358482834304.8
47,18891,3373763662.5015607
48,18323,1.5477757303994038e+17
49,17899,6.145559018494623e+16
50,17949,31654575827217.18
51,19725,9.602511410433507e+16
52,11808,4517573644132853.0
53,11819,3838923867378.492
54,11797,1.1450131489400981e+17
55,13533,5.939075262130744e+16
56,10394,168459568460952.5
57,17955,1624663180.4094772
58,15031,1774486916375701.8
59,19044,29809317838622.086
60,10621,3.794710252570219e+17
61,13544,1.102547519079274e+18
62,15924,3.253535715211293e+19
63,12496,2.7903477497229196e+16
64,14336,23063753608.16442
65,14125,3584383492674897.5
66,18010,1456030282099027.0
67,11741,7.55290924842883e+16
68,11334,348758443580023.1
69,10169,1.4221468417932978e+19
70,10289,921116383303902.2
71,18863,3.016485235601709e+18
72,18027,8225322887081742.0
73,13843,22280058666119.19
74,12857,1.0823812111556744e+17
75,19644,9.858394286311862e+16
76,11890,2.23776022581708e+18
77,19655,5.545731284310076e+19
78,11680,36755606510793.75
79,11438,2.560550211708597e+16
80,16563,2.1642605292136205e+17
81,16062,230979075568674.12
82,11596,242970276965675.38
83,17546,17518441011.22767
84,10916,6.075707144696892e+16
85,16710,1.263962083025901e+19
86,11916,1.3313482702142075e+17
87,10241,1865300510201304.0
88,17723,1.910835757783178e+16
89,10445,6.012554934924899e+16
90,13158,359291658552042.5
91,16643,348433750208.20886
92,10793,3.46438608806437e+18
93,15030,339146683230962.2
94,13004,375228487032826.1
95,19252,51425523494.82592
96,17842,698610485469577.5
97,18973,5.3957559112239704e+16
98,13769,194178518437947.03
99,14700,13151032850490.469
100,14502,8990710707299.688
101,19819,5.3578053115273344e+17
102,10290,13712145818531.98
103,11288,9.995363099878584e+16
104,15502,386302266517115.06
105,10388,6.255321031246409e+18
106,17682,1.6594816880342747e+19
107,12236,18643439373536.53
108,16370,1755043422847293.2
109,11591,5.014588373596616e+16
110,14398,8.076974196472254e+19
111,10079,1.0532381349216093e+17
112,12735,1.9184076555850903e+18
113,18768,3126911673989.1143
114,19410,1.226690964857493e+18
115,14880,4.012327924139057e+18
116,19662,408145269255902.0
117,15613,9078596654249192.0
118,17595,3.0628562470605804e+16
119,15476,3.4301794113694323e+19
120,12936,2.8267558057799603e+18
121,10521,1383219733351235.8
122,14300,59463997888565.88
123,10105,1385582138465189.0
124,14887,1.1525452565614974e+16
125,11663,1.3139080147519332e+18
126,16696,2385295897162694.5
127,14942,46265596137562.39
128,14623,21267281399149.29
129,13516,1.0233680159203445e+17
130,19323,8635690599033.068
131,11303,1.671199919189548e+20
132,18508,2.7993946667357916e+16
133,14450,3.929375048953636e+18
