,id,output
0,14189,-5420.997910624688
1,14742,17533.869861471667
2,13905,4663.037995773116
3,10072,2674.2117705047463
4,14879,3383.4520826064672
5,13815,25791.509752618735
6,19697,24861.621282120497
7,17494,2611.4136588421793
8,16252,-9794.0196204865
9,16260,12398.530176741826
10,10947,16657.827033517824
11,11538,-7510.062780823927
12,10851,-18325.18581149854
13,12313,-7974.07738071897
14,14644,-7548.802620928042
15,17497,684.0759177921334
16,12965,-10145.669537179427
17,17746,4747.700410993492
18,13264,14161.496187615468
19,15763,-23796.236929564817
20,13170,-10563.80360569163
21,14479,24219.879929598035
22,10346,-8318.428432766308
23,18970,5540.303959381538
24,17476,-5360.578509037336
25,12119,9540.631552376131
26,14522,13135.739890310973
27,11345,-319.8004929619326
28,15683,12513.103382906711
29,14338,-3109.253706609249
30,16930,-2454.9911823324856
31,17549,6368.35380411421
32,18555,3422.7104389699593
33,14186,-12673.040939333805
34,18035,-4520.01275698905
35,11346,-5763.652236495936
36,13372,-3120.388273839478
37,14401,-6852.282249889282
38,14478,-2175.0350281378464
39,13391,12778.949728071668
40,16092,-1741.5299324984437
41,15117,-24730.05276184696
42,14560,-14935.195366426422
43,19618,-11163.087012796872
44,12155,-269.75022985197523
45,10961,-19116.733691751408
46,19868,10296.878075387058
47,19198,11984.200183780436
48,13726,-2136.008364905995
49,16666,-3529.9501307105998
50,13672,9427.846466234687
51,13886,-2379.6195089412868
52,19523,8730.757325240553
53,14938,4776.830439186323
54,14487,-13429.56463287821
55,16576,-4075.8633054619736
56,19957,-18744.147376304725
57,16881,13387.254435875273
58,10869,16777.315811610693
59,12817,6239.762038467561
60,18557,1806.92647690538
61,17299,-15094.774401180683
62,17226,-11321.775617208415
63,16112,677.3109312185184
64,15144,1425.9129074434936
65,15823,-8037.873752188109
66,15010,9911.237294529661
67,19373,-5229.670229149719
68,16184,5651.605739564186
69,19047,-1900.6036617174982
70,18646,-3357.618106028698
71,13344,1591.9707680174429
72,12342,-3060.7904896443783
73,10553,5322.935780685589
74,19450,-29915.364044791404
75,15128,715.1948619214284
76,10044,-11328.091821048381
77,14856,-2977.923651201601
78,15428,-4287.423581229854
79,13473,5473.372284806723
80,19872,3903.4071678042856
81,12692,-31799.03018314829
82,13888,-8330.396095154178
83,14823,11579.19309633947
84,18733,-4563.151941433829
